Cidade;UF;População;Possui Plano Municipal;População sem Água;População sem Esgoto;População sem coleta de lixo;Domicílios sujeitos à inundações
"São José do Vale do Rio Preto";"RJ";"21916";"Sim";"37,7%";"31,56%";"27,77%";"41%"
"São Pedro da Aldeia";"RJ";"106049";"Sim";"2,31%";"19,88%";"13,47%";"7,4%"
"São Sebastião do Alto";"RJ";"9387";"Em elaboração";"49,26%";"--";"5,4%";"27,6%"
"Sapucaia";"RJ";"18249";"Não";"24,26%";"35,46%";"Atendimento Pleno";"--"
"Saquarema";"RJ";"90583";"Sim";"2,77%";"26,06%";"3,7%";"--"
"Seropédica";"RJ";"83092";"Em elaboração";"33,68%";"74,82%";"Atendimento Pleno";"--"
"Silva Jardim";"RJ";"21774";"Sim";"19,26%";"52,76%";"9,5%";"--"
"Sumidouro";"RJ";"15667";"Sim";"71,87%";"61,51%";"33,9%";"2,4%"
"Tanguá";"RJ";"34610";"Sim";"76,57%";"51,09%";"2,77%";"24,1%"
"Teresópolis";"RJ";"184240";"Sim";"12,75%";"--";"Atendimento Pleno";"0,4%"
"Trajano de Moraes";"RJ";"10640";"Em elaboração";"71,17%";"88,25%";"46,99%";"--"
"Três Rios";"RJ";"82142";"Em elaboração";"1,03%";"1,18%";"0,17%";"--"
"Valença";"RJ";"76869";"Sim";"19,08%";"--";"Atendimento Pleno";"Não há"
"Varre-Sai";"RJ";"11106";"Não";"70,21%";"--";"9,96%";"1,7%"
"Vassouras";"RJ";"37083";"Em elaboração";"32,58%";"43,1%";"Atendimento Pleno";"0,5%"
"Volta Redonda";"RJ";"273988";"Sim";"0,05%";"1,09%";"0,05%";"Não há"
